time [s],expiration [NA](/api/datatype/35/)
3564.3125,23439
3566.8515625,23434
3569.421875,23436
3572.109375,23440
3574.9140625,23440
3578.0,23433
3581.265625,23433
3584.28125,23431
3587.1015625,23432
3590.125,23432
3592.9765625,23432
3596.1640625,23427
3599.0390625,23423
3601.5546875,23426
3604.4453125,23421
3607.078125,23432
3610.046875,23433
3612.8359375,23430
3615.53125,23434
3617.8984375,23433
3621.390625,23441
3624.453125,23436
3627.4140625,23430
3630.390625,23432
3633.125,23430
3636.1015625,23432
3638.7421875,23432
3641.6328125,23430
3644.5546875,23426
3646.953125,23438
3649.859375,23440
3652.328125,23439
3654.7265625,23439
3657.53125,23435
3660.4375,23437
3665.328125,23311
3679.046875,23428
3683.046875,23438
3685.7890625,23436
3688.3125,23434
3690.9375,23437
3693.8359375,23445
3697.1640625,23441
3699.71875,23443
3702.71875,23438
3705.4140625,23439
3708.203125,23440
3710.6953125,23440
3713.6328125,23439
3716.5078125,23438
3719.2421875,23438
3721.9140625,23441
3724.28125,23439
3727.1875,23439
3729.421875,23436
3733.734375,23441
3736.6328125,23437
3739.7109375,23445
3742.6640625,23444
3745.359375,23437
3747.6875,23444
3750.2734375,23443
3753.9375,23446
3756.78125,23443
3759.25,23442
3761.9296875,23442
3768.09375,23449
3770.9296875,23446
3773.828125,23438
3776.859375,23443
3778.515625,23407
3781.2578125,23422
3784.96875,23229
3789.0234375,23419
3793.1328125,23457
3796.890625,23445
3800.8984375,23427
3807.296875,23430
3810.5078125,23448
3813.765625,23453
3815.90625,23448
3817.9765625,23445
3820.375,23433
3823.578125,23443
3826.265625,23439
3829.546875,23453
3833.5546875,23447
3835.9765625,23447
3839.0546875,23436
3841.3515625,23441
3844.0703125,23438
3845.8359375,23442
3849.4140625,23458
3851.5,23437
3853.5859375,23436
3855.8203125,23454
3857.9140625,23451
3860.609375,23447
3862.796875,23429
3865.1953125,23444
3867.546875,23428
3869.5859375,23386
3871.859375,23410
3874.5234375,23416
3877.3671875,23401
3880.6015625,23427
3883.078125,23420
3889.28125,23232
3894.671875,23419
3900.25,23413
3902.765625,23413
3906.359375,23412
3910.4765625,23425
3913.59375,23429
3916.7578125,23429
3919.7734375,23437
3922.5546875,23433
3925.40625,23429
3931.8203125,23430
3934.96875,23423
3937.5625,23412
3939.4609375,23416
3943.390625,23424
3946.7734375,23428
3949.6171875,23434
3952.2734375,23429
3954.9453125,23414
3957.578125,23404
3960.9296875,23404
3964.3828125,23403
3967.5703125,23402
3970.3125,23399
3972.921875,23402
3975.796875,23407
3978.84375,23410
3981.453125,23418
3983.9921875,23391
3987.1015625,23407
3990.203125,23408
3993.59375,23409
3996.640625,23407
3999.421875,23404
4002.34375,23405
4005.1875,23405
4008.078125,23402
4011.1640625,23405
4015.3046875,23249
4029.1328125,23413
4032.5234375,23412
4035.90625,23410
4038.859375,23411
4041.859375,23401
4045.1640625,23398
4048.1171875,23410
4051.390625,23408
4054.0625,23417
4056.7109375,23406
4059.515625,23408
4064.9453125,23374
4070.8671875,23419
4073.9765625,23400
4078.4921875,23416
4081.4140625,23404
4084.3203125,23406
4086.9765625,23406
4089.5234375,23404
4092.0390625,23415
4094.5234375,23411
4097.8671875,23432
4100.6796875,23429
4102.828125,23429
4105.3046875,23447
4107.3515625,23434
4109.5625,23419
4111.75,23434
4113.9921875,23443
4116.8515625,23371
4120.296875,23443
4122.1171875,23433
4124.09375,23433
4128.1953125,23443
4132.0625,23446
4134.9609375,23444
4137.3828125,23433
4139.7109375,23435
4141.9609375,23441
4144.25,23449
4147.2421875,23445
4150.2265625,23439
4152.8203125,23438
4155.171875,23439
4158.6875,23443
4160.90625,23441
4163.5703125,23430
4165.7734375,23431
4168.1171875,23431
4170.515625,23440
4172.96875,23434
4175.09375,23440
4177.2109375,23419
4179.46875,23412
4185.0859375,23429
4188.9609375,23430
4191.3359375,23439
4195.3359375,23433
4197.5859375,23422
4199.7578125,23436
4203.7109375,23436
4205.6484375,23434
4207.921875,23441
4209.859375,23433
4212.96875,23441
4215.4609375,23436
4218.203125,23431
4220.3671875,23423
4222.0,23431
4224.1015625,23431
4226.6953125,23330
4231.3046875,23452
4234.796875,23448
4238.3984375,23448
4240.125,23447
4241.6875,23441
4244.2265625,23442
4246.2109375,23434
4248.890625,23427
4251.078125,23431
4253.078125,23425
4255.1796875,23424
4257.265625,23429
4259.359375,23438
4263.75,23350
4268.9921875,23438
4271.9140625,23448
4274.4921875,23429
4276.9140625,23428
4279.609375,23422
4282.1484375,23422
4284.078125,23425
4285.6171875,23434
4288.6328125,23420
4290.6484375,23410
4293.03125,23407
4295.1953125,23406
4297.734375,23375
