time [s],inspiration [NA](/api/datatype/34/)
14952.8359375,23281
14956.3671875,23286
14959.4375,23296
14962.2734375,23296
14965.4296875,23292
14968.265625,23301
14971.203125,23289
14976.7265625,23313
14979.1171875,23296
14985.34375,23271
14989.0625,23284
14992.1171875,23280
14994.828125,23293
14998.171875,23295
15000.6640625,23312
15003.7421875,23311
15006.4296875,23302
15008.828125,23318
15011.4375,23307
15013.84375,23304
15016.4296875,23311
15020.0625,23304
15022.515625,23308
15025.28125,23323
15027.640625,23322
15030.53125,23325
15033.046875,23325
15035.8203125,23318
15038.375,23315
15040.953125,23314
15043.8828125,23316
15046.6875,23318
15049.359375,23321
15051.9765625,23310
15054.6875,23317
15057.125,23316
15059.53125,23313
15061.953125,23291
15064.9140625,23288
15067.5078125,23303
15070.2421875,23303
15072.8046875,23303
15075.46875,23307
15077.96875,23310
15081.078125,23308
15083.9609375,23319
15086.2734375,23319
15088.78125,23322
15091.8203125,23325
15094.4453125,23313
15097.5,23310
15100.3828125,23314
15103.2421875,23312
15105.8828125,23319
15108.59375,23267
15111.1015625,23264
15113.796875,23264
15116.6328125,23266
15119.796875,23305
15122.1484375,23312
15124.640625,23313
15126.9765625,23310
15134.671875,23287
15136.5546875,23288
15140.4140625,23340
15142.484375,23326
15148.8046875,23325
15156.125,23351
15160.4375,23293
15165.0390625,23295
15168.5859375,23322
15173.8515625,23398
15178.28125,23334
15183.0234375,23306
15185.578125,23304
15188.0390625,23298
15190.4453125,23301
15192.796875,23313
15195.2890625,23305
15197.8828125,23304
15200.4140625,23305
15206.328125,23308
15208.875,23316
15211.546875,23340
15217.7265625,23298
15222.609375,23303
15225.59375,23303
15228.78125,23288
15231.7578125,23302
15234.1015625,23286
15237.5625,23288
15240.28125,23292
15243.140625,23303
15245.5546875,23307
15248.296875,23304
15250.7890625,23308
15253.484375,23305
15256.328125,23304
15259.859375,23298
15265.484375,23293
15267.8828125,23301
15271.0,23310
15273.8203125,23308
15276.4375,23302
15279.0078125,23306
15281.9140625,23306
15283.890625,23305
15286.7421875,23302
15289.3046875,23317
15291.65625,23306
15294.6484375,23301
15297.4921875,23321
15301.5859375,23290
15306.625,23318
15310.15625,23320
15313.546875,23327
15316.828125,23322
15321.390625,23326
15324.2890625,23320
15326.7578125,23305
15329.1484375,23314
15332.1796875,23307
15335.0859375,23321
15338.84375,23313
15341.125,23318
15343.640625,23317
15346.4765625,23313
15348.96875,23320
15351.6640625,23313
15354.484375,23323
15357.1953125,23318
15359.71875,23311
15362.515625,23305
15365.3125,23308
15367.8828125,23323
15370.71875,23311
15373.7109375,23306
15376.5390625,23306
15379.25,23304
15381.9609375,23313
15384.421875,23318
15390.0546875,23268
15393.3203125,23306
15397.2734375,23301
15400.2734375,23310
15403.59375,23297
15406.8984375,23297
15409.7890625,23299
15412.546875,23298
15415.59375,23307
15418.2890625,23314
15420.9921875,23313
15424.1171875,23320
15426.7265625,23306
15429.0078125,23305
15431.2421875,23290
15433.7109375,23313
15436.328125,23313
15439.09375,23309
15442.3515625,23313
15444.9765625,23318
15447.78125,23305
15450.546875,23304
15453.265625,23301
15456.109375,23305
15458.9140625,23323
15461.609375,23317
15464.2734375,23312
15467.1484375,23315
15470.1171875,23308
15473.0625,23315
15474.875,23296
15480.296875,23306
15483.5859375,23303
15486.484375,23299
15489.1328125,23303
15492.1796875,23306
15496.2578125,23292
15498.359375,23311
15500.984375,23313
15503.8359375,23307
15507.0234375,23310
15509.6640625,23306
15512.0859375,23308
15514.7890625,23311
15517.296875,23312
15519.84375,23315
15522.6015625,23309
15524.9765625,23306
15528.09375,23308
15530.6875,23295
15533.609375,23302
15536.1328125,23304
15538.8359375,23307
15541.3046875,23307
15543.9140625,23303
15546.71875,23302
15549.671875,23303
15552.328125,23308
15555.703125,23304
15558.2109375,23307
15560.765625,23300
15563.9921875,23301
15567.0390625,23304
15569.8515625,23297
15572.5390625,23304
15575.1171875,23306
15577.9375,23301
15580.4375,23305
15583.0625,23304
15585.75,23301
15587.8203125,23292
15593.734375,23317
15597.4765625,23286
15603.109375,23296
15605.625,23304
15608.140625,23303
15611.1640625,23302
15616.3671875,23308
15619.4375,23311
15622.078125,23313
15625.390625,23325
15627.9140625,23323
15630.8515625,23324
15633.296875,23322
15639.578125,23311
15641.78125,23307
15647.7421875,23285
15650.4609375,23286
15653.390625,23289
15656.109375,23286
15659.6875,23289
15662.90625,23289
15666.09375,23290
15668.7578125,23320
15671.109375,23316
15674.078125,23326
15676.6875,23323
15679.1640625,23324
15681.6875,23323
15684.3359375,23325
15686.765625,23319
15688.84375,23324
15691.046875,23331
15693.3359375,23326
15695.71875,23334
15698.1796875,23326
15700.40625,23322
15703.0546875,23326
15705.5625,23324
15707.953125,23324
15710.40625,23325
15713.3359375,23323
15715.625,23324
15717.9296875,23318
15719.5234375,23305
15722.2890625,23316
15724.5703125,23322
15727.7890625,23323
15729.9921875,23329
15731.875,23313
15734.671875,23305
15737.5703125,23311
15740.2734375,23311
15743.015625,23313
15745.7734375,23328
15748.375,23327
15751.1484375,23330
15753.8203125,23328
15756.6171875,23309
15759.3046875,23308
15761.9375,23317
15764.4140625,23320
15766.640625,23313
15770.34375,23322
15772.9140625,23323
15775.796875,23324
15780.875,23269
15782.4453125,23313
15785.0078125,23262
15787.796875,23286
15789.9453125,23285
15795.5234375,23284
15798.2734375,23321
15801.078125,23330
15804.0078125,23322
15806.40625,23361
15809.015625,23333
15811.5546875,23333
15813.875,23331
15820.265625,23320
15823.1015625,23294
15832.9921875,23298
15835.28125,23299
15838.078125,23297
15841.453125,23313
15844.296875,23306
15847.3046875,23301
15850.703125,23303
15853.1171875,23302
15856.2109375,23314
15858.8046875,23306
15863.5078125,23307
15865.125,23308
15867.890625,23313
15870.078125,23308
15872.9765625,23317
15878.6953125,23317
15880.8984375,23315
15883.2734375,23322
15887.2265625,23366
15890.9765625,23322
15893.8359375,23324
15896.40625,23309
15900.3203125,23312
15902.9453125,23326
15905.6484375,23320
15908.2578125,23328
15910.796875,23330
15913.2265625,23333
15915.828125,23319
15918.5234375,23319
15921.1015625,23324
15923.4296875,23322
15926.2265625,23306
15932.09375,23314
15934.9296875,23313
15937.84375,23305
15940.671875,23307
15943.59375,23307
15946.3125,23314
15948.78125,23319
15951.40625,23309
15953.875,23308
15956.53125,23315
15958.8984375,23319
15961.5234375,23318
15964.0234375,23318
15966.734375,23319
15970.2578125,23324
15972.4921875,23321
15975.078125,23327
15977.6328125,23321
15980.0625,23324
15983.2890625,23345
15990.671875,23301
15994.109375,23304
15997.1171875,23305
15999.3125,23329
16002.0625,23331
16004.703125,23321
16006.859375,23317
16009.3984375,23310
16012.6953125,23317
16015.625,23326
16019.109375,23335
16022.5859375,23312
16026.0625,23323
16028.875,23329
16031.2421875,23325
16033.6484375,23328
16037.0859375,23327
16039.96875,23334
16042.828125,23328
16046.75,23331
16049.8515625,23314
16052.390625,23314
16055.421875,23318
16058.3359375,23329
16062.0625,23332
16064.5234375,23311
16067.1953125,23312
16070.015625,23319
16072.5703125,23331
16075.1484375,23325
16078.125,23322
16081.2109375,23333
