time [s],NN_interval [s/256](/api/datatype/318/)
24433.65625,190
24434.43359375,199
24435.203125,197
24435.93359375,187
24436.6796875,191
24437.43359375,193
24438.1796875,191
24438.8984375,184
24439.62890625,187
24440.40234375,198
24441.18359375,200
24441.921875,189
24442.6796875,194
24443.4140625,188
24444.10546875,177
24444.765625,169
24445.40234375,163
24446.02734375,160
24446.66796875,164
24447.31640625,166
24448.0,175
24448.703125,180
24449.37109375,171
24450.04296875,172
24450.72265625,174
24451.42578125,180
24452.12109375,178
24452.81640625,178
24453.5390625,185
24454.28515625,191
24455.00390625,184
24455.67578125,172
24456.34765625,172
24457.015625,171
24457.70703125,177
24458.37109375,170
24459.04296875,172
24459.7421875,179
24460.4296875,176
24461.1015625,172
24461.78515625,175
24462.46875,175
24463.1640625,178
24463.8515625,176
24464.50390625,167
24465.14453125,164
24465.7578125,157
24466.3515625,152
24466.92578125,147
24467.5,147
24468.08984375,151
24468.72265625,162
24469.38671875,170
24470.0390625,167
24470.71484375,173
24471.46484375,192
24472.26953125,206
24473.11328125,216
24473.88671875,198
24475.40625,193
24476.171875,196
24476.8828125,182
24477.58203125,179
24478.32421875,190
24479.11328125,202
24479.953125,215
24480.7421875,202
24481.546875,206
24482.3671875,210
24483.18359375,209
24483.9375,193
24484.703125,196
24485.46875,196
24486.21875,192
24486.953125,188
24487.65234375,179
24488.30078125,166
24488.9375,163
24489.62890625,177
24491.21484375,210
24491.97265625,194
24493.5,196
24494.25,192
24494.91796875,171
24495.53515625,158
24496.140625,155
24496.81640625,173
24497.5,175
24498.29296875,203
24499.1484375,219
24500.01953125,223
24502.359375,198
24503.1640625,206
24503.98046875,209
24504.7890625,207
24505.53515625,191
24506.29296875,194
24507.09375,205
24507.92578125,213
24508.75,211
24509.5546875,206
24510.30859375,193
24511.0859375,199
24511.828125,190
24512.55078125,185
24513.25,179
24513.96875,184
24514.75,200
24515.55078125,205
24516.3515625,205
24517.12890625,199
24517.890625,195
24518.61328125,185
24519.31640625,180
24520.0,175
24520.66015625,169
24521.31640625,168
24521.96484375,166
24522.6484375,175
24523.36328125,183
24524.08984375,186
24524.83984375,192
24525.56640625,186
24526.265625,179
24526.953125,176
24527.61328125,169
24528.25390625,164
24528.87109375,158
24529.47265625,154
24530.05859375,150
24530.65234375,152
24531.30078125,166
24532.0703125,197
24532.91015625,215
24533.7890625,225
24534.6796875,228
24535.5703125,228
24536.390625,210
24537.19140625,205
24537.96484375,198
24538.71484375,192
24539.44921875,188
24540.171875,185
24540.8671875,178
24541.55078125,175
24542.28125,187
24543.02734375,191
24543.8125,201
24544.546875,188
24545.25390625,181
24545.98828125,188
24546.76953125,200
24547.59765625,212
24548.390625,203
24549.8125,174
24550.46484375,167
