time [s],step [Step](/api/datatype/52/)
7903.1875,1948
7903.734375,1949
7904.09375,1950
7904.75,1951
7905.203125,1952
7905.734375,1953
7906.125,1954
7906.734375,1955
7907.15625,1956
7907.71875,1957
7908.140625,1958
7908.71875,1959
7909.203125,1960
7909.765625,1961
7910.234375,1962
7910.859375,1963
7911.234375,1964
7911.921875,1965
7912.40625,1966
7912.9375,1967
7913.328125,1968
7913.984375,1969
7914.359375,1970
7914.96875,1971
7915.453125,1972
7915.96875,1973
7916.390625,1974
7917.0,1975
7917.375,1976
7918.0625,1977
7918.453125,1978
7919.125,1979
7919.625,1980
7920.171875,1981
7920.609375,1982
7921.265625,1983
7921.65625,1984
7922.34375,1985
7922.796875,1986
7923.4375,1987
7923.8125,1988
7924.515625,1989
7924.96875,1990
7925.609375,1991
7926.125,1992
7926.65625,1993
7927.15625,1994
7927.71875,1995
7928.171875,1996
7928.703125,1997
7929.078125,1998
7929.71875,1999
7930.171875,2000
7930.671875,2001
7931.140625,2002
7931.671875,2003
7932.09375,2004
7932.65625,2005
7933.015625,2006
7933.65625,2007
7934.09375,2008
7934.625,2009
7935.015625,2010
7935.59375,2011
7936.015625,2012
7936.53125,2013
7936.984375,2014
7937.515625,2015
7937.953125,2016
7938.5,2017
7938.859375,2018
7939.484375,2019
7939.96875,2020
7940.453125,2021
7940.90625,2022
7941.453125,2023
7941.828125,2024
7942.4375,2025
7942.890625,2026
7943.40625,2027
7943.859375,2028
7944.375,2029
7944.796875,2030
7945.5625,2031
7946.0,2032
7946.6875,2033
7954.171875,2034
7954.78125,2035
7955.515625,2036
7955.921875,2037
7956.59375,2038
7957.078125,2039
7957.5625,2040
7958.65625,2041
7959.03125,2042
7959.765625,2043
7960.171875,2044
7961.34375,2045
7962.6875,2046
7963.96875,2047
7965.4375,2048
7966.171875,2049
7966.859375,2050
7967.578125,2051
7968.234375,2052
7968.984375,2053
7969.625,2054
7971.265625,2055
7973.703125,2056
7974.4375,2057
7974.765625,2058
7987.0625,2059
8057.984375,2060
8058.390625,2061
8059.171875,2062
8221.140625,2063
9046.1875,2064
9046.515625,2065
9402.90625,2066
9403.296875,2067
9848.4375,2068
9854.34375,2069
9856.0,2070
9856.5625,2071
9857.0625,2072
9857.484375,2073
9858.015625,2074
9858.390625,2075
9859.046875,2076
9859.53125,2077
9860.265625,2078
9860.6875,2079
9861.296875,2080
9861.6875,2081
9862.296875,2082
9862.65625,2083
9863.296875,2084
9863.625,2085
9864.28125,2086
9864.671875,2087
9865.296875,2088
9865.734375,2089
9866.3125,2090
9868.171875,2091
9868.625,2092
9869.328125,2093
9872.265625,2094
9872.9375,2095
9874.140625,2096
9874.9375,2097
9875.328125,2098
9876.03125,2099
9876.4375,2100
9877.140625,2101
9877.578125,2102
9878.109375,2103
9878.625,2104
9879.734375,2105
9880.84375,2106
9881.609375,2107
9881.984375,2108
9883.1875,2109
9884.0,2110
9884.375,2111
9885.140625,2112
9885.515625,2113
9886.6875,2114
9887.890625,2115
9888.578125,2116
9889.25,2117
9890.734375,2118
9891.59375,2119
9891.96875,2120
9892.734375,2121
9893.125,2122
9893.90625,2123
9894.28125,2124
9894.953125,2125
9896.078125,2126
9896.46875,2127
9897.171875,2128
9898.234375,2129
9899.328125,2130
9899.765625,2131
9900.40625,2132
9900.8125,2133
9901.5,2134
9901.90625,2135
9902.5625,2136
9903.671875,2137
9904.078125,2138
9904.765625,2139
9905.203125,2140
9905.875,2141
9906.34375,2142
9906.953125,2143
9907.359375,2144
9908.015625,2145
9908.421875,2146
9909.046875,2147
9909.453125,2148
9910.09375,2149
9910.484375,2150
9911.125,2151
9911.546875,2152
9912.15625,2153
9912.578125,2154
9913.25,2155
9913.625,2156
9914.234375,2157
9914.671875,2158
9915.265625,2159
9915.71875,2160
9916.3125,2161
9916.765625,2162
9917.359375,2163
9917.8125,2164
9918.390625,2165
9918.8125,2166
9919.453125,2167
9919.859375,2168
9920.453125,2169
9920.890625,2170
9921.5,2171
9921.953125,2172
9922.59375,2173
9923.65625,2174
9924.09375,2175
9924.703125,2176
9925.171875,2177
9925.75,2178
9926.203125,2179
9926.796875,2180
9927.25,2181
9927.828125,2182
9928.171875,2183
9928.84375,2184
9929.203125,2185
9929.890625,2186
9930.265625,2187
9930.921875,2188
9931.984375,2189
9932.328125,2190
9933.03125,2191
9933.53125,2192
9934.078125,2193
9934.515625,2194
9935.140625,2195
9935.53125,2196
9936.234375,2197
9936.640625,2198
9937.453125,2199
9937.859375,2200
9940.734375,2201
9941.671875,2202
9942.125,2203
9942.734375,2204
9943.140625,2205
9943.828125,2206
9944.1875,2207
9944.875,2208
9945.34375,2209
9946.421875,2210
9947.515625,2211
9948.15625,2212
9948.5,2213
9949.171875,2214
9950.21875,2215
9957.46875,2216
9957.796875,2217
9959.46875,2218
9960.078125,2219
9960.453125,2220
9960.984375,2221
9961.390625,2222
9961.953125,2223
9962.4375,2224
9962.96875,2225
9976.140625,2226
9976.71875,2227
9977.359375,2228
9977.8125,2229
9978.484375,2230
9978.90625,2231
9979.421875,2232
9979.859375,2233
9980.4375,2234
9980.796875,2235
9981.328125,2236
9981.75,2237
9982.265625,2238
9982.59375,2239
9983.21875,2240
9983.609375,2241
9984.28125,2242
9984.734375,2243
9985.59375,2244
9985.96875,2245
9996.140625,2246
9996.5625,2247
9997.0,2248
9997.40625,2249
9997.96875,2250
9998.3125,2251
9998.9375,2252
9999.375,2253
9999.984375,2254
10001.234375,2255
10001.453125,2256
10002.234375,2257
10003.5,2258
10004.265625,2259
10004.90625,2260
10005.796875,2261
10006.15625,2262
10006.84375,2263
10007.375,2264
10008.0625,2265
10008.484375,2266
10009.140625,2267
10009.546875,2268
10010.15625,2269
10010.609375,2270
10011.234375,2271
10011.671875,2272
10012.34375,2273
10012.71875,2274
10013.375,2275
10013.8125,2276
10014.46875,2277
10015.515625,2278
10015.96875,2279
10016.578125,2280
10017.015625,2281
10017.609375,2282
10018.046875,2283
10018.625,2284
10019.609375,2285
10020.078125,2286
10020.609375,2287
10021.078125,2288
